cnty,name,price,state
bent-county-co,Bent County,78760,CO
boulder-county-co,Boulder County,615687,CO
broomfield-county-co,Broomfield County,521014,CO
chaffee-county-co,Chaffee County,414009,CO
cheyenne-county-co,Cheyenne County,112080,CO
clear-creek-county-co,Clear Creek County,416450,CO
conejos-county-co,Conejos County,145357,CO
costilla-county-co,Costilla County,121823,CO
crowley-county-co,Crowley County,77224,CO
custer-county-co,Custer County,266179,CO
delta-county-co,Delta County,269910,CO
denver-county-co,Denver County,506859,CO
dolores-county-co,Dolores County,169148,CO
douglas-county-co,Douglas County,596689,CO
eagle-county-co,Eagle County,584974,CO
elbert-county-co,Elbert County,572418,CO
el-paso-county-co,El Paso County,372715,CO
fremont-county-co,Fremont County,256085,CO
garfield-county-co,Garfield County,472089,CO
gilpin-county-co,Gilpin County,397437,CO
grand-county-co,Grand County,483451,CO
gunnison-county-co,Gunnison County,421145,CO
hinsdale-county-co,Hinsdale County,335878,CO
huerfano-county-co,Huerfano County,155224,CO
jackson-county-co,Jackson County,183222,CO
jefferson-county-co,Jefferson County,528102,CO
kiowa-county-co,Kiowa County,99524,CO
kit-carson-county-co,Kit Carson County,169660,CO
lake-county-co,Lake County,276993,CO
la-plata-county-co,La Plata County,464718,CO
larimer-county-co,Larimer County,449181,CO
las-animas-county-co,Las Animas County,154600,CO
lincoln-county-co,Lincoln County,155886,CO
logan-county-co,Logan County,187231,CO
mesa-county-co,Mesa County,299214,CO
mineral-county-co,Mineral County,300500,CO
moffat-county-co,Moffat County,201299,CO
montezuma-county-co,Montezuma County,272305,CO
montrose-county-co,Montrose County,301634,CO
morgan-county-co,Morgan County,230409,CO
otero-county-co,Otero County,100984,CO
ouray-county-co,Ouray County,500857,CO
park-county-co,Park County,379284,CO
phillips-county-co,Phillips County,165099,CO
pitkin-county-co,Pitkin County,1391755,CO
prowers-county-co,Prowers County,94134,CO
pueblo-county-co,Pueblo County,228268,CO
rio-blanco-county-co,Rio Blanco County,239102,CO
rio-grande-county-co,Rio Grande County,203612,CO
routt-county-co,Routt County,645013,CO
saguache-county-co,Saguache County,179417,CO
san-juan-county-co,San Juan County,311583,CO
san-miguel-county-co,San Miguel County,807805,CO
sedgwick-county-co,Sedgwick County,68339,CO
summit-county-co,Summit County,699008,CO
teller-county-co,Teller County,347550,CO
washington-county-co,Washington County,133111,CO
weld-county-co,Weld County,409523,CO
yuma-county-co,Yuma County,189740,CO
fairfield-county-ct,Fairfield County,467478,CT
hartford-county-ct,Hartford County,250842,CT
litchfield-county-ct,Litchfield County,289905,CT
middlesex-county-ct,Middlesex County,325994,CT
new-haven-county-ct,New Haven County,269132,CT
new-london-county-ct,New London County,286670,CT
tolland-county-ct,Tolland County,264281,CT
windham-county-ct,Windham County,228906,CT
district-of-columbia-dc,District of Columbia,672989,DC
kent-county-de,Kent County,253544,DE
