cnty,state,name,age
cook-county-ga,GA,Cook County,74.14999999999999
coweta-county-ga,GA,Coweta County,77.34736842105265
crawford-county-ga,GA,Crawford County,75.63333333333334
crisp-county-ga,GA,Crisp County,74.95
dade-county-ga,GA,Dade County,76.27499999999999
dawson-county-ga,GA,Dawson County,77.03333333333333
dekalb-county-ga,GA,DeKalb County,77.7388888888889
decatur-county-ga,GA,Decatur County,74.35714285714286
dodge-county-ga,GA,Dodge County,75.60000000000001
dooly-county-ga,GA,Dooly County,79.93333333333332
dougherty-county-ga,GA,Dougherty County,74.5076923076923
douglas-county-ga,GA,Douglas County,76.28500000000001
early-county-ga,GA,Early County,74.02
echols-county-ga,GA,Echols County,74.55000000000001
effingham-county-ga,GA,Effingham County,76.24000000000001
elbert-county-ga,GA,Elbert County,73.69999999999999
emanuel-county-ga,GA,Emanuel County,73.10000000000001
evans-county-ga,GA,Evans County,76.60000000000001
fannin-county-ga,GA,Fannin County,75.825
fayette-county-ga,GA,Fayette County,79.77499999999999
floyd-county-ga,GA,Floyd County,75.765
forsyth-county-ga,GA,Forsyth County,79.76249999999999
franklin-county-ga,GA,Franklin County,74.44000000000001
fulton-county-ga,GA,Fulton County,77.36481481481478
gilmer-county-ga,GA,Gilmer County,79.2
glascock-county-ga,GA,Glascock County,77.0
glynn-county-ga,GA,Glynn County,77.23333333333333
gordon-county-ga,GA,Gordon County,76.44444444444444
grady-county-ga,GA,Grady County,76.5
greene-county-ga,GA,Greene County,76.24
gwinnett-county-ga,GA,Gwinnett County,79.04020618556706
habersham-county-ga,GA,Habersham County,78.27499999999999
hall-county-ga,GA,Hall County,78.11176470588236
hancock-county-ga,GA,Hancock County,77.25
haralson-county-ga,GA,Haralson County,73.22
harris-county-ga,GA,Harris County,80.97500000000001
hart-county-ga,GA,Hart County,77.02000000000001
heard-county-ga,GA,Heard County,75.16666666666666
henry-county-ga,GA,Henry County,77.50869565217393
houston-county-ga,GA,Houston County,77.12272727272725
irwin-county-ga,GA,Irwin County,76.2
jackson-county-ga,GA,Jackson County,75.85454545454546
jasper-county-ga,GA,Jasper County,75.36666666666666
jeff-davis-county-ga,GA,Jeff Davis County,73.60000000000001
jefferson-county-ga,GA,Jefferson County,75.39999999999999
jenkins-county-ga,GA,Jenkins County,73.75
johnson-county-ga,GA,Johnson County,76.2
jones-county-ga,GA,Jones County,75.13333333333333
lamar-county-ga,GA,Lamar County,74.5
lanier-county-ga,GA,Lanier County,76.75
laurens-county-ga,GA,Laurens County,73.69166666666666
lee-county-ga,GA,Lee County,77.75
liberty-county-ga,GA,Liberty County,75.97
lincoln-county-ga,GA,Lincoln County,76.35
long-county-ga,GA,Long County,76.44999999999999
lowndes-county-ga,GA,Lowndes County,75.692
lumpkin-county-ga,GA,Lumpkin County,77.39999999999999
macon-county-ga,GA,Macon County,76.89999999999999
madison-county-ga,GA,Madison County,75.30000000000001
marion-county-ga,GA,Marion County,76.45
mcduffie-county-ga,GA,McDuffie County,74.03999999999999
mcintosh-county-ga,GA,McIntosh County,77.36666666666667
meriwether-county-ga,GA,Meriwether County,74.125
miller-county-ga,GA,Miller County,76.23333333333333
mitchell-county-ga,GA,Mitchell County,75.2
monroe-county-ga,GA,Monroe County,77.03999999999999
montgomery-county-ga,GA,Montgomery County,77.33333333333333
morgan-county-ga,GA,Morgan County,76.66
murray-county-ga,GA,Murray County,74.66250000000001
muscogee-county-ga,GA,Muscogee County,74.49583333333335
newton-county-ga,GA,Newton County,75.76153846153846
oconee-county-ga,GA,Oconee County,80.83333333333333
oglethorpe-county-ga,GA,Oglethorpe County,76.2
paulding-county-ga,GA,Paulding County,77.19375
peach-county-ga,GA,Peach County,75.53999999999999
pickens-county-ga,GA,Pickens County,77.26666666666667
pierce-county-ga,GA,Pierce County,75.05
pike-county-ga,GA,Pike County,77.17500000000001
